anio,n,entidad,agegrp,women,child_born_13 ,child_born,child_dead_13,child_dead
2020,0,Nacional,15-19,5332824,620055,618031,,14037
2020,0,Nacional,20-24,5247598,3254634,3249374,,75920
2020,0,Nacional,25-29,5124871,6307847,6292156,,154451
2020,0,Nacional,30-34,4887653,8599312,8531443,,226633
2020,0,Nacional,35-39,4683840,10153522,9980076,,306263
2020,0,Nacional,40-44,4436995,10798248,10498514,,391038
2020,0,Nacional,45-49,4126353,10822516,10381242,,475173
2020,1,Aguascalientes,15-19,65017,8211,8200,,219
2020,1,Aguascalientes,20-24,63836,41383,41351,,967
2020,1,Aguascalientes,25-29,60256,78847,78710,,1825
2020,1,Aguascalientes,30-34,55149,103362,102873,,2445
2020,1,Aguascalientes,35-39,51458,119073,117683,,3359
2020,1,Aguascalientes,40-44,48519,125763,123208,,4070
2020,1,Aguascalientes,45-49,44490,123816,119395,,4738
2020,2,Baja California,15-19,153849,14468,14361,,380
2020,2,Baja California,20-24,166588,94529,94323,,2487
2020,2,Baja California,25-29,161636,191778,191265,,5586
2020,2,Baja California,30-34,149894,260367,258859,,8076
2020,2,Baja California,35-39,143622,305246,301954,,10120
2020,2,Baja California,40-44,135037,323276,317916,,12363
2020,2,Baja California,45-49,126432,322174,314882,,13956
2020,3,Baja California Sur,15-19,31585,3504,3486,,101
2020,3,Baja California Sur,20-24,32255,20739,20727,,499
2020,3,Baja California Sur,25-29,33703,41853,41799,,1094
2020,3,Baja California Sur,30-34,33080,58028,57811,,1548
2020,3,Baja California Sur,35-39,31601,66772,66300,,1980
2020,3,Baja California Sur,40-44,28952,68582,67738,,2376
2020,3,Baja California Sur,45-49,25019,62384,61294,,2652
2020,4,Campeche,15-19,37648,4856,4837,,111
2020,4,Campeche,20-24,38263,25649,25603,,569
2020,4,Campeche,25-29,37739,48877,48732,,1092
2020,4,Campeche,30-34,38132,67965,67269,,1524
2020,4,Campeche,35-39,36650,79598,77954,,2190
2020,4,Campeche,40-44,33393,81589,79026,,2710
